Name,Institution,Citations
Jian Kang,"Professor of Acoustics, University College London",27739
Professor Cheuk Ming MAK 麥卓明,The Hong Kong Polytechnic University,9537
Edwin Reynders,KU Leuven,8681
Jin Yong Jeon,"Department of Architectural Engineering, Hanyang University",7801
Valtteri Hongisto,"Turku University of Applied Sciences, Turku, Finland",5883
Murray Hodgson,"Professor of Acoustics, University of British Columbia",4436
Wolfgang Kropp,"Professor Applied Acoustics, Chalmers University of Technology",3144
Pyoung-Jik Lee,"Acoustics Research Unit, University of Liverpool",3071
Andy Moorhouse,"Acoustics Research Centre, University of Salford",2937
Parham Soltani,"Associate Professor, Isfahan University of Technology",1964
