Name,Institution,Citations
Jian Kang,"Professor of Acoustics, University College London",27739
Jin Yong Jeon,"Department of Architectural Engineering, Hanyang University",7801
John Culling,Cardiff University,4898
Peter D'Antonio,Director of Research,4714
Shiu Keung Tang,"School of Engineering, The University of Hull",3144
Jooyoung Hong,Chungnam National University,3093
Densil Cabrera,University of Sydney,2484
Lily M. Wang,"Director, Durham School of Architectural Engineering and Construction, University of …",1792
Erica Ryherd,Associate Professor,1514
佐久間哲哉,Professor,1352
