Name,Institution,Citations
Jian Kang,"Professor of Acoustics, University College London",27739
Jin Yong Jeon,"Department of Architectural Engineering, Hanyang University",7801
Francesco Aletta,"University College London, Institute for Environmental Design and Engineering",6362
Peter Newman,"Dean and Professor, Rubenstein School of Environment and Natural Resources University …",5799
Bert De Coensel,"Associate professor, Ghent University",4619
Catherine Guastavino,"Professor, McGill University and CIRMMT (Centre for Interdisciplinary Research on Music",4412
Luigi Maffei,Università della Campania Luigi Vanvitelli- full professor,3785
Giuseppa Buscaino,CNR IAS,3578
Jooyoung Hong,Chungnam National University,3093
Pyoung-Jik Lee,"Acoustics Research Unit, University of Liverpool",3071
